3;24;7;5;1;5;6;4;2;18;1;7;8;6;11;17;7;0;13;13;16;0;0;0;1;5;0;8;0;11;8;10;0;14;0;2;2;0;1;7;10;0;6;3;3;2;3;2;7;0;2;6;5;10
10;36;8;5;0;5;3;7;6;7;1;11;2;8;11;6;2;0;12;15;18;4;0;0;0;7;0;3;0;11;10;20;1;6;1;6;13;0;4;11;12;1;5;3;0;0;5;4;8;3;1;2;2;8
3;0;3;3;0;1;0;3;1;2;0;4;0;5;13;10;10;1;16;22;10;0;1;2;3;3;0;4;0;10;5;14;0;1;1;4;0;0;2;3;4;1;6;3;0;1;3;4;3;3;0;4;1;5
4;1;6;4;0;1;2;7;2;1;2;8;3;12;12;9;12;2;16;16;10;1;0;2;3;4;1;3;1;7;3;31;1;17;2;6;4;0;2;7;6;0;2;6;1;2;3;9;18;6;5;3;11;9
11;32;13;7;0;1;1;11;6;5;1;20;5;7;14;11;11;0;13;5;9;1;2;0;0;8;0;9;0;12;9;10;0;8;0;2;5;0;5;13;12;0;7;3;3;2;3;3;7;1;3;4;4;7
11;26;11;3;0;3;4;12;10;10;10;20;3;10;16;8;6;0;12;7;18;4;4;0;0;5;0;6;0;22;2;23;0;11;5;8;11;0;1;8;11;0;1;5;0;4;2;4;4;1;1;2;1;3
10;22;17;7;0;6;6;7;6;12;3;26;7;19;16;13;3;3;16;5;17;5;1;0;0;11;0;9;0;15;4;26;1;6;5;3;5;0;1;8;8;3;7;7;5;4;6;1;10;1;4;3;6;14
3;1;12;3;0;0;1;3;2;0;1;11;4;13;12;10;9;1;19;24;7;0;0;2;5;7;0;3;0;11;5;21;0;10;2;5;3;0;1;4;10;3;5;4;1;0;2;8;14;2;8;2;2;8
13;22;8;7;0;3;1;8;1;2;1;21;8;7;11;8;6;0;4;13;23;1;2;0;0;10;0;2;0;18;7;7;0;6;0;6;6;0;2;14;9;1;8;6;1;2;8;1;3;0;1;1;3;5
5;6;5;3;0;0;2;4;2;1;3;8;3;8;19;17;17;1;11;19;4;1;1;0;4;7;0;2;0;10;4;13;0;8;2;2;1;0;1;11;10;0;9;5;0;2;3;13;14;6;6;3;11;8
16;30;10;2;2;5;0;9;3;3;0;24;3;8;19;7;9;0;13;7;15;3;2;0;0;3;0;5;0;9;5;13;0;6;0;4;6;0;2;9;10;0;9;4;0;1;5;7;14;2;6;1;6;3
8;9;8;6;0;0;3;4;4;7;1;17;1;15;11;7;8;0;15;28;9;1;2;0;1;9;0;7;0;11;13;12;0;6;1;1;5;0;1;9;13;2;19;11;2;0;1;1;3;1;4;3;3;8
8;7;6;3;0;2;4;6;2;6;0;12;4;16;10;7;5;0;22;33;7;0;3;0;1;5;0;4;0;12;11;16;0;8;0;4;4;0;1;17;14;1;4;7;4;2;4;4;7;2;3;3;7;6
13;30;14;6;2;6;4;19;2;4;1;18;4;11;12;10;10;1;15;9;8;2;1;0;0;11;0;5;0;13;7;17;0;9;2;7;12;0;0;7;6;0;2;8;0;4;5;3;9;0;5;2;1;4
2;5;4;11;1;2;0;7;5;3;4;9;2;14;8;6;7;0;26;20;3;0;0;1;0;8;0;0;0;15;9;15;0;6;2;4;5;0;3;12;25;1;13;5;3;1;4;2;8;0;3;1;2;13
5;0;5;5;0;2;2;3;4;3;0;11;2;7;6;14;11;0;10;19;5;0;0;2;1;9;0;1;0;3;7;14;0;6;2;2;3;0;4;11;11;4;6;1;1;2;7;2;3;2;1;1;4;5
6;31;14;2;1;3;6;9;10;5;2;19;3;8;14;10;4;4;11;11;17;2;1;0;0;6;0;3;0;9;6;32;1;7;2;9;5;0;6;11;8;1;9;2;1;3;4;3;3;1;2;4;0;3
2;10;4;6;0;4;3;9;5;2;4;12;2;13;10;18;15;0;7;20;13;0;4;1;1;5;0;0;0;9;12;19;1;7;1;5;4;0;3;12;8;0;7;5;3;1;2;7;11;8;5;1;7;8
12;17;10;9;2;0;1;7;2;2;1;19;4;5;3;13;10;0;16;16;15;0;0;0;0;6;0;4;0;16;6;9;0;4;0;3;7;0;1;9;8;1;8;1;4;1;5;4;14;0;4;1;5;7
14;27;10;5;0;2;1;12;6;2;2;17;1;7;11;3;5;1;5;11;16;2;0;0;0;8;0;2;0;15;11;14;0;7;0;4;6;0;5;12;7;1;4;7;11;1;4;2;6;2;3;2;4;4
4;5;8;4;2;4;1;5;2;1;1;14;1;1;10;10;14;0;16;17;7;0;0;0;0;11;0;5;0;16;10;8;0;8;1;3;7;0;1;6;11;0;7;6;1;1;7;7;11;4;3;2;15;6
13;32;13;5;0;5;2;2;4;9;5;18;2;12;14;7;6;0;7;5;17;1;1;0;0;8;0;3;0;9;6;17;0;7;0;3;4;0;2;11;11;0;5;3;3;1;4;9;13;4;7;3;11;11
19;30;6;8;0;4;2;4;13;2;6;16;3;9;12;7;8;3;12;14;24;6;1;0;0;12;0;8;0;20;6;18;11;9;2;5;13;1;4;13;15;0;16;4;7;0;8;2;7;1;2;4;3;11
